Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Government Hospital SARKARA khas,SARKARA khas,Unknown,Unknown,244104,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.882866,78.9055158
J.R Hospital Heart Care Neuro Care Maternity and General Centre,"Rampur Road, Near Pital Nagri, Moradabad",Unknown,Unknown,244001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.8267194,78.8074619
Photon Hospital,"Kashipur Road, Rampur Douraha, Near By Satsang, Moradabad",Unknown,Unknown,244001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.8586224,78.8253331
We Care Hospital,"South Ekta Vihar, Near Bijli Ghar, Rampur, Doraha",Unknown,Unknown,244001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.8385284,78.8292048
"Ali Hospital, Karanpur",Sarkara Khas,Unknown,Unknown,244104,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.8784969,78.9223534
"Primary Health Centre, Tajpur",Tajpur,Unknown,Unknown,244001,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,28.8438079,78.8178867
"SubCentre, Dadupur",Dadupur,Unknown,Unknown,244001,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,28.8646113,78.8200272
"SubCentre, Milak Nagli",Milak Nagli,Unknown,Unknown,244927,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,28.8791177,78.9389563
