Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Mulik Netra Chikitsalaya,Near Sbi Jhilha Peth,Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0094433,75.5630167
"Srushti Hospital, Jalgaon","Plot No. 6, Nandanvan Colony, Opposite Kwajamiya Ganesh Colony Road",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0101745,75.5497424
Matruseva Hospital,"No. 375/A, Onkar Nagar,Opposite Telephone Quarters,Jilha Peth",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.006038,75.5665196
Disha Eye Hospital,Jilapath,Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0126483,75.5658089
Shri Saileela Accident Hospital,"Behind Teli Samaj Complex, Near Anglo Urdu High School Pratap Nagar",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0114665,75.5584757
Dr. Nandini Athavale's Hospital For Children,"Near State Bank Of India, Mahatma Gandhi Road, Jilha Peth",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0087573,75.5628397
Madhur Urologi and Clinic,"M.M Chember , First Floor .Opposite Telephone Exchange Office Omkar Nagar Jilaapeth",Unknown,Unknown,425001,Maharashtra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,21.0035002,75.55806
Om Critical Care and Trauma Centre,"61, Onkar Nagar, Behind Parikh Park, Zella Peth",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0072549,75.5670547
Shree Swaminatayan Surgical Hospital and Laparoscopy Centre,"Patrakar Colony, Prabhat Colony",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0048423,75.5657297
Chirayu Childrens Critical Care Centre,"M.M. Chambers, 2nd Floor, Opposite Main Telephone, Jilha Peth",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0079482,75.555081
Heramb Netralaya,"Krishna Sadan, Jila Peth, Gandhi Nagar,Infront Of Stadium",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0087147,75.5628356
