Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
"Maitri Hospital, Vadodara","Labh Complex, ,Near New India Mill,Jatalpur Road",Unknown,Unknown,390007,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3072608,73.1771931
Shreejala Hospital,"Shreejala,Raopura",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.301516,73.2004975
City Plaza Eye Clinic,"301,City Rishikesh Tower Next To Dalia Patel Wadi,Near Geeta Mandir",Unknown,Unknown,390001,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3032283,73.2009548
"Shreeji Hospital, Sangam","Opposite Narshidham Complex, Behind Sangam Bus Stop, Near Sangam Cross Road, Harni Road",Unknown,Unknown,390018,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3202792,73.2125822
"Centre For Sight, Allkapuri 2","303, Siddhartha Complex, R.C.Dutt Road, Alkapuri, Branch 2",Unknown,Unknown,390011,Gujarat,Unknown,hospital,Unknown,Unknown,https://www.centreforsight.net/,Unknown,22.3180535,73.170619
Siddhi Clinic,"107, Patel Plaza, Opposite Harinagar Bus Stand,Gotri",Unknown,Unknown,390023,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3107596,73.1538968
Premier Kidney Care Pvt.Ltd.,"17,Shreenagar Society.Near Urmi Crosingmill Road",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3008919,73.1745431
Baroda Children Eye Care And Squint Clinic,"1st Floor, Sunrise Apt., Behind Central, Nutan Bharat Society,Alkapuri",Unknown,Unknown,390007,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3107832,73.1662685
"Unity Hospital, Vadodara",Race Course Circle( West),Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.312045,73.1524202
"Madhuram Hospital, Vadodara","A-52.Dajinagar Society, Vadodara",Unknown,Unknown,390006,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3128601,73.2231742
Anand Medical Nursing Home,"Near Dabhoi Nagrik Bank, Gajanan Park, Uma Char Rasta, Waghodia Road",Unknown,Unknown,390019,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3015185,73.2298462
Anand Multi Speciality Hospital,"B - Tower Sundervan Complex, Near Gurwa Iti , Bsei Deicul, Petrol Pump , Gorwa Refinery Road, Gorwa Petrol Pump , Gorwa Refinery Road, Gorwa",Unknown,Unknown,390016,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3355498,73.1531914
Shushrut Hospital,"Atmiya Complex, Vip Road",Unknown,Unknown,390018,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3273183,73.2100086
Subhechha Multispeciality Hospitals Pvt. Ltd,"409/412, Shrinagar Society, Near Urmi Char Rasta, Akota",Unknown,Unknown,390020,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3007964,73.1743486
Avdhoot Neurosurgical Hospital,"1/A,Ranjan Society,Near Suvarna Puri Society",Unknown,Unknown,390007,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3070132,73.1703736
Sameep Children Hospital,"Chaturvedi Park,Opp Rajdhani Society,Harni-Varasia Ring Road",Unknown,Unknown,390006,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3140326,73.2222582
Modi Nursing Home and Iccu,"A 101 Kalpavrux,Opposite Board Electricity Station",Unknown,Unknown,390021,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3136907,73.145187
Minal Clinic,"105, Kailash Apartment, Opposite Harinagar Water Tank,Gotri Road",Unknown,Unknown,390021,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3093874,73.1528896
Maharshi Atreya Health Centre - Ayurveda Panchakarma Health Centre,"Maharshi Atreya Health Centre - Ayurvedic Panchakarma Hospital, Undera Koyali Main Road, At And Post Undera",Unknown,Unknown,391330,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3520058,73.1300104
Anupama Eye Hospital and Phaco Center,"2nd Floor, Rutwik Anandvan Complex, Subhanpura New Ipcl Road",Unknown,Unknown,390023,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.327621,73.1548463
"Krishna Nursing Home, Vadodara","4-D, Tashkand Society, Near Delux Bus Stand, Nizampura",Unknown,Unknown,390002,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3356965,73.1783944
Raj Kidacare and Neonatal Care,"Ajanta Apartment,1st Floor.R.T.O Road",Unknown,Unknown,390006,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3084996,73.2150988
"Shreenath Hospital, Vadodara","Utang Building, New Ipcl Road, Subhanpura",Unknown,Unknown,390023,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3279746,73.1546766
Shailee E.N.T. Hospital,"2nd Floor, Vama Complex, Ayurvedic Three Road,Pani Gate",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3003782,73.2204323
Sangam Critical Care and Trauma Centre,"Opp-Sangam Bus Stand, Sangam Char Rasta, Harni Road, Karelibaug",Unknown,Unknown,390021,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3205888,73.2116555
Sarthak Hospital and Skin Care Centre,"5-Apsara Soc.,OppositeSilver Apartment, Near Ganga Jamna Hospital, Subhanpura",Unknown,Unknown,390021,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3206365,73.1598848
Baroda Eye Institute,"15,Navrang Complex,Raopura",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3017952,73.2009011
Gunjan Hospital And Icu Unit,"B-27/349,A/F2 Indra Prasth Complex, Opp Swaminarayan Nagar, Nizampura",Unknown,Unknown,390002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3394356,73.1779066
Maa Children Hospital,"1st Floor Lalita Towers, Near . Rajpath Hotel, B / H Railway Station",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3083166,73.1798995
Kamat Eye Hospital,"1st Floor, Vinraj Plaza, Opposite Government Press, Kothi",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3041378,73.1934969
Aayush Orthopedic Hospital and Joint Replacement Center,"G.P.O. Lane, Kharivav Road,Opposite Police Ground,Raopura",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3029988,73.1975108
Arman Children Hospital,"Kishan Copmlex Opp, Yash Comp, Gortri Road",Unknown,Unknown,390021,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3164252,73.1379745
"Shreeji Hospital, Ayurvedic Cross Road","1st Floor, Vama Square, Ayurvedic Cross Road, Outside Panigate",Unknown,Unknown,390017,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3004117,73.2208608
"Mehta Nursing Home, Vadodara","C-10 Srinathji Kripa Society, Near Arunachal Society Subhanpura Subhanpura",Unknown,Unknown,390023,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3259847,73.1546686
Atmaj Eye Care Centre,"G-1,Sudhan Apts,OppositeTejas Vidyalaya.Atmalyoti Ashram Road",Unknown,Unknown,390023,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3163985,73.1582808
