Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Municipal Droguerías 2,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Su 07:00-20:00,4.53613,-75.6705589
Drosalud del Café,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.5382627,-75.6679165
Droservimos,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00; PH off,4.519515,-75.7057816
La Botica del Eje,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.5375441,-75.6689403
Multidrogas,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00; PH off,4.5539796,-75.6576412
Niza Bulevar,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.5449774,-75.6664233
Profamiliar,Unknown,Unknown,Armenia,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.5329626,-75.6740204
Profamiliar,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.5351605,-75.6723822
Profamiliar,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.5356658,-75.6728352
Profamiliar,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.5356982,-75.6717974
Super Droguerías Andez,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.5407509,-75.6736719
Clínica SaludCoop EPS,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,clinic,Healthcare Services,Unknown,Unknown,Unknown,4.5452443,-75.6608907
Drogas La Economía,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5467306,-75.6621787
Multidrogas,Unknown,Calle 30 - Camellón del Cauca,Armenia,630004,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.5310034,-75.6804471
Droguería Armenia Plaza,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.531741,-75.6732143
Mil Drogas,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.5349435,-75.6746514
Comfenalco,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00,4.5355287,-75.6715384
Drogas Superdescuentos,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5297598,-75.6773625
Municipal Droguerías 1,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Su 07:00-20:00,4.5363925,-75.6714825
Quindimag - Paramedicos,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,doctors,Healthcare Services,Unknown,Unknown,Mo-Fr 07:00-18:30; Sa 08:00-12:00,4.5434379,-75.6662128
La Rebaja,Unknown,Unknown,Armenia,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,"Mo-Sa 07:30-21:00; Su,PH 09:00-20:00",4.5332826,-75.6724965
Drogueria Comfenalco,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5539849,-75.6640353
Clínica Veterinaria Bull Jovi,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,veterinary,Healthcare Services,Unknown,Unknown,Unknown,4.5449491,-75.6696078
Fundación Alejandro Londoño,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,doctors,Healthcare Services,+57 6 7455566,http://www.fundacionalejandrolondono.com,Mo-Fr 07:00-19:00; Sa 08:00-13:00,4.5461913,-75.6626841
La Rebaja,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Su 08:00-21:00,4.5342171,-75.6734316
Cruz Verde,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.5480593,-75.667148
Droguería La 21,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5380146,-75.6782299
Droguería Luz,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5382212,-75.6772795
Clínica Veterinaria El Bosque,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,veterinary,Healthcare Services,Unknown,Unknown,24/7,4.5388344,-75.6766094
La Rebaja,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Su 8:00-21:00,4.5376423,-75.6779114
Droguería,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.526697,-75.6827124
Laboratorio Clínico M.L.H.,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,doctors,Healthcare Services,Unknown,Unknown,Unknown,4.521748,-75.6870019
Fundación Cancerológica del Quindío,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,doctors,Healthcare Services,Unknown,Unknown,Unknown,4.556376,-75.6575067
Fundación Cardiometcequin,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,doctors,Healthcare Services,Unknown,Unknown,Unknown,4.5563957,-75.6572358
Fundación Latinoamericana de Medicina Alternativa - OMEFA,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,doctors,Healthcare Services,Unknown,Unknown,Unknown,4.5566067,-75.6570637
Laboratorio Clínico MLH,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,doctors,Healthcare Services,Unknown,Unknown,Unknown,4.5560592,-75.657585
Odonto Profesional,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,dentist,Healthcare Services,Unknown,Unknown,Unknown,4.556522,-75.6573683
Cruz Verde,Unknown,Unknown,Armenia,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 07:30-21:30; Su 09:00-21:00,4.5639336,-75.6557091
Can y Kat - Centro Veterinario,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,veterinary,Healthcare Services,Unknown,Unknown,Mo-Fr 08:00-21:00; Sa 08:00-16:00,4.5506684,-75.6624341
Cimev,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,veterinary,Healthcare Services,Unknown,Unknown,24/7,4.5482844,-75.6646449
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,veterinary,Healthcare Services,Unknown,Unknown,Unknown,4.5574678,-75.6529728
Drogas La Rebaja,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5222865,-75.6907644
Droguería Las Acacias,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5219737,-75.6893592
Satelital,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5215629,-75.6934309
OdontoCentro Norte,Unknown,Unknown,Armenia,Unknown,Unknown,Armenia,dentist,dentist,Unknown,Unknown,Unknown,4.5471134,-75.6609018
Drogas La Economía,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5344685,-75.6721459
Farmadrogas de Occidente,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.5348488,-75.6736704
Laboratorio Clínico Andino,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,doctors,Healthcare Services,Unknown,Unknown,Unknown,4.5342354,-75.6733403
Dra María José Vélez,Unknown,Carrera 13,Armenia,Unknown,Unknown,Armenia,dentist,dentist,Unknown,Unknown,Unknown,4.5490559,-75.659484
Laboratorio Luisa Vallejo,Unknown,Calle 2 Norte,Unknown,Unknown,Unknown,Armenia,dentist,Healthcare Services,Unknown,Unknown,Unknown,4.5467463,-75.6633046
Clínica de Endodoncia Jeannette Aljure,Unknown,Carrera 13,Armenia,Unknown,Unknown,Armenia,dentist,dentist,Unknown,Unknown,Unknown,4.5490005,-75.6595441
Quintas de la Fachada,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5203832,-75.7133611
Colmédica,Unknown,Calle 15 Norte,Unknown,Unknown,Unknown,Armenia,clinic,Healthcare Services,Unknown,Unknown,Unknown,4.5545644,-75.6578545
El Negrito,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.5313288,-75.6406135
Alta estética oral,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,dentist,Healthcare Services,Unknown,Unknown,Unknown,4.5325151,-75.6410351
Juan Pablo Mejía,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,dentist,dentist,Unknown,Unknown,Unknown,4.5541086,-75.6580245
Prosalud,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5276085,-75.6421282
Amigos y Mascotas,Unknown,Barrio Los Quindos Mz 13 casa 1,Unknown,Unknown,Unknown,Armenia,veterinary,Healthcare Services,Unknown,Unknown,Unknown,4.5227717,-75.702675
Lemon Dental,Unknown,Calle 17,Armenia,630004,Unknown,Armenia,dentist,Healthcare Services,+57 606 7416644,https://www.facebook.com/LemonDental/,Unknown,4.534424,-75.6717535
Salud Animal,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,veterinary,Healthcare Services,Unknown,Unknown,Unknown,4.5253815,-75.6429497
Drogas Napolitana,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.5284969,-75.6409261
Conexión Animal,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,veterinary,Healthcare Services,Unknown,Unknown,Unknown,4.5318158,-75.6404267
Dra. Natalia Ramírez,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,dentist,dentist,Unknown,Unknown,Unknown,4.5319882,-75.6396505
Clínica odontológica,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,dentist,dentist,Unknown,Unknown,Unknown,4.520599,-75.6492168
Droguería todo en 1,Unknown,Carrera 14,Armenia,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,+57 3147075341,Unknown,Unknown,4.5323624,-75.6735485
Orthoplan,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,dentist,Healthcare Services,Unknown,Unknown,Unknown,4.5516261,-75.6587948
Farmadepósito,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.5308338,-75.6400817
MaxiFarma,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.533017,-75.6399936
